# L-1
Crawford 
Alesina	 
Chilingarian
Nieto       
Gracia Abril
# L-2
Deshpande
Tian, Fan               ; P12.14
Swade
Romelli
Coulais
# L-3
Katharina Lutz          ; P13.8
Pey Lian Lim            ; P11.3
Andre Schaaff           ; P1.12
Pramod Gupta            ; P4.8
Alberto Micol           ; P10.8
# L-4
Kyle Kaplan             ; P12.7   x
Sergi Blanco            ; P6-1    x
Kinga Albert            ; P4-1    x
Julien Burnier          ; P6.3
Marco Landoni           ; P6.8
#  sorry
#Peter Williams          ; P13-99
#Grishin, Kirill         ; P3-3
#Rubtsov, Evgenii        ; P5-15 

