paper_id,name,answer,title,abstract
I5-001,Chenzhou Cui,"National Astronomical Observatories, Chinese Academy of Sciences",Teaching Resources for Virtual Observatory,"The Virtual Observatory (VO) aims to provide a research environment that will open new possibilities for scientific research based on data discovery, efficient data access, and interoperability. Besides being a data-intensively online astronomical research environment, VO can be a most effective resource with its excellent educational tools and knowledge bases, deriving directly from professional astronomy. Education Interest Group (EduIG) of the International Virtual Observatory Alliance (IVOA) is a communication channel between the IVOA community and the public of educators and students. During the last two decades, a large member of teaching and training resources for VO have been developed and contributed by the IVOA and its project members. In my talk, the role of VO in education and an overview of these resources will be presented. Additionally, in March 2021, the IVOA and the IAU Office of Astronomy for Development (OAD) signed a Memorandum of Understanding (MoU). The goal is to support the use astronomical data for education, development, and public outreach. International Worldwide Telescope Guided Tour Contest is listed as one pilot activity of the collaboration. The official website for the first international contest will be lunched at my talk."
X0-001,Antoine Basset,CNES,EleFits: A modern C++ API on top of CFITSIO,"EleFits is a new C++ package to read and write FITS files which focuses on (1) safety, (2) user-friendliness, and (3) performance.
This paper presents the development rationale, examples, and comparisons to the available alternatives: CFITSIO, CCfits, SFITSIO, and AFW.
(1) Safety first:
To our knowledge, EleFits is the only option which features a fully consistent and optimal internal type management system.
Nevertheless, the API is templated and agnostic of the underlying architecture, which makes usage straightforward.
(2) As for ease of use, EleFits is shown to be more compact and to involve less parameters than its alternatives, which makes it both simpler and less error-prone.
Most of the basic services of CFITSIO have been implemented already, and more advanced ones are being added regularly.
Furthermore, EleFits provides exclusive features like HDU selectors and automatic buffering of binary tables.
(3) To maximize performance, EleFits is built as a CFITSIO wrapper as thin as possible.
A benchmark was developed to compare I/O times, with CFITSIO as the reference.
While the two libraries are generally equivalent, optimizations implemented internally make EleFits even faster in some classical cases, unless the CFITSIO user spends considerable development efforts.
The package is used since years internally to the Euclid ground segment and is being open-sourced."
O6-002,Vincent Picouet,LAM,pyds9plugin: a DS9 extension for quicklook processing scalable into a multi-processing pipeline,"Current fits viewer applications (SAOImage DS9, Aladin, GINGA, Glue) have been developed to optimize the visualization of astronomical images while keeping some interesting specificities: linked-data exploration, interactive sky atlass access, flexible and extensible visualization toolkit, etc. 
 Not initially designed for image processing, these software do not address this need as it would break their conceptual integrity. This leaves it to big instrument consortium who will design their own data processing pipeline which will, most of the time, be too specific to be re-used by the astronomy community.

For this particular discipline evolving towards Jim Gray's fourth paradigm and where important part of the job relies on astronomical images analysis, this draws a new challenge for current and future imaging software: 
mimic what has been done for bio image analysis by addressing the current frontier of image processing. 

Among the different difficulties that need to be addressed to make the processing software beneficial (catalyze code collaboration, extensibility, multi-image analysis), one key aspect is to keep the essential high level interactivity between the data and the user which became a consensual feature for visualization.
For a number of reason that I will go through in the talk, the development of plugins for fits viewers application represent a very interesting way to take up the challenge of developing image processing tools and address the related difficulties.

I will then use this talk to introduce you pyds9plugin: a naive simple attempt to design such a plugin.
This DS9 quick look plugin is a public domain versatile extension I designed for DS9 visualization software. 
The plugin pushes DS9 visualization software a step further, by allowing to analyze and process in real time these images while keeping a high level of interactivity. The processing functions can then be generalized automatically to a set of images, to turn the quicklook tool into a real multi-processing pipeline.

This plugin incorporates essential functions (radial profile, 2D/3D fitting, trough-focus, stacking, background removal, source/artefact extraction, etc.) to extract quantitative and comprehensive information from imaging data sets in order to support instrumentation, reduce your observations, analyze the performance of your data, etc.
We also linked the most famous astronomical codes (SExtractor, SWARP, etc.) to the plugin to allow research-grade analysis and processing. 
As all researchers have different needs, the plugin is designed in a comprehensive way so that everyone can easily add its own macros that can then be run quickly and automatically on a set of images thanks to multi-processing.
This Pyds9plugin, available both on Pypi and Github, tries to gather a glimpse of all the possibilities that offers DS9 extensibility so that it motivates astronomers exploring this implementation approach."
I7-001,Michelle Lochner,University of the Western Cape / South African Radio Astronomy Observatory,Anomaly Detection in Astronomical Data using Machine Learning,"The next generation of telescopes such as the SKA and the Rubin Observatory will produce enormous data sets, far too large for traditional analysis techniques. Machine learning has proven invaluable in handling large data volumes and automating many tasks traditionally done by human scientists. In this talk, I will discuss how machine learning for anomaly detection can help automate the process of locating unusual astronomical objects in large datasets thus enabling new cosmic discoveries. The framework of using active learning to build a recommendation engine for interesting anomalies is general and could be applied in other fields."
O7-006,Emmanuel Caux,"IRAP/CNRS-UPS-CNRS, Toulouse, France",Artificial Intelligence for Automatic Identification of Spectral Lines,"Astronomical spectra can be made up of hundreds or even thousands of emission and absorption lines. Astronomers need to identify each line in order to be able to determine the physical conditions of the objects studied as the temperature of the sources and the column densities of the observed species (molecules and/or atoms). The constant improvement of instruments in terms of sensitivity, instantaneous spectral range, and spatial resolution capabilities produces a mass of broad spectra with high spectral resolution for which handmade line identification is ineffective and even maybe impossible. 

With the advent of BIG DATA, AI algorithms have proven to be very effective in solving complex problems (mainly related to classification and prediction tasks) for many different fields including astrophysics. The aim of this study is to automate the identification of species from their observed lines in rich astronomical spectra by combining methods in signal processing and machine learning with expert knowledge. 

This talk will cover three solutions based on (1) wavelets transform, expert knowledge and decision trees to identify the species associated to each spectral line, (2) Artificial Neural Networks to predict if a species is present in a spectrum or not and (3) a greedy algorithm that simulate successively the presence of each species of the database (and its isotopes) in order to check its correspondance in the spectrum. Last, we combine and compare these methods to improve our results. 

The results of our research, using an ALMA spectrum very rich in molecular lines combined with the use of CDMS and JPL molecular spectroscopic databases, have already allowed us to find a molecule that had never been detected in the spectrum experimented."
O4-002,Mathieu Servillat,LUTH - Observatoire de Paris,FAIR high level data for Cherenkov astronomy,"An effort is on-going to make astronomy data FAIR: Findable, Accessible, Interoperable and Reusable. The Reusability principle is particularly subtle as the question of trust is raised. Provenance information on the data is essential to ensure this trust, and it should come with the proper granularity and level of details. The effort to specify the provenance of astronomy data is shared with current and future large observatories in the context of the ESCAPE European project and the International Virtual Observatory Alliance (IVOA). We organized discussions on common approaches across all wavebands. In particular, Cherenkov astronomy provides complex data based on the detection of Cherenkov light generated in the atmosphere by air showers induced by energetic cosmic particles. Unlike current experiments such as H.E.S.S., MAGIC or VERITAS, the next generation Cherenkov Telescope Array (CTA) will be an open observatory with public access to its high level science data products. The complex treatment of raw Cherenkov data implies to attach a detailed description of the high level data and their provenance.

We developed a prototype platform to connect the first H.E.S.S. public test data release to the Virtual Observatory through an IVOA ObsTAP service: relevant metadata is mapped to the IVOA ObsCore data model main fields and additional specific metadata is provided (F, A). The high level data follows a proposed standard data format for gamma-ray astronomy (GADF) to ensure wider interoperability (I). We finally designed a provenance management system in connection with the development of pipelines and analysis tools for CTA (ctapipe and gammapy), in order to collect rich and detailed provenance information, as recommended by the FAIR principles (R). The prototype platform thus implements the main functionalities of a science gateway, including data search and access, online processing, and traceability of the various actions performed by a user."
O7-004,Valentina Cesare,"INAF, Osservatorio Astrofisico di Catania",Gaia AVU-GSR parallel solver towards exascale infrastructure,"The Gaia Astrometric Verification Unit – Global Sphere Reconstruction (AVU-GSR) Parallel Solver aims to find the astrometric parameters for ~1 billion of stars in the Milky Way, the attitude and the instrumental parameters of the Gaia satellite, and the global parameter gamma of the post Newtonian formalism RAMOD. To perform this task, the code iteratively solves a system of linear equations, A x = b, where the coefficient matrix A is large, having a dimension of ~10^10 x 10^8, and sparse.
To deal with this big data problem, the matrix A is compactified through an ad-hoc compression algorithm and only its elements different from zero are considered during computation. The matrix dimension reduces from ~10^10 x 10^8 to ~10^10 x 10^1. To solve this system, the code exploits a hybrid implementation of the iterative PC-LSQR algorithm, where the computation related to different horizontal portions of the coefficient matrix is assigned to different MPI processes. In the original code, each matrix portion is further parallelized over the OpenMP threads. To further improve the code performance, we ported the application on the GPU, replacing the OpenMP part with OpenACC. In this porting, the ~95% of the data is copied at the beginning of the entire cycle of iterations, making the code compute bound rather than memory bound. In the preliminary tests, the OpenACC code already accelerates with respect to the OpenMP version and we aim to obtain a speedup equal to 2. Further optimizations, that involve the asynchronous work of the GPU and CPU regions of the code, are in progress to obtain higher gains. The code runs on multiple GPUs, one per MPI process, and it was tested on a full node of the CINECA supercomputer Marconi100, with 4 V100 GPUs having 16 GB of memory each, in perspective of a porting on the pre-exascale system Leonardo, that will be installed at CINECA in 2022. In the next month, we are going to work on the porting of the code with CUDA."
O3-002,William O'Mullane,Vera C. Rubin Observatory,Rubin Science Platform on Google: the story so far.,"In 2020 Rubin Observatory made a tender for a three year interim data facility. This was won by Google. In partnership with Google we have now deployed the first externally used version of the Rubin Science Platform consisting of a jupyter environment and a portal. Sitting behind this is TAP access to our project developed large scale database Qserv holding a synthetic catalogue of 140 million objects and around 500TB of simulated images. This is hosted on Google Cloud Platform using Terraform and Kubernetes. The initial few hundred users were given access to this in July 2021. In this talk we will describe the system, the initial use and the coming years."
X0-002,Vicente Navarro,ESA,ESA Datalabs 2.0: Boosting Open Collaboration in ESA Space Science,"At the European Space Astronomy Centre (ESAC) near Madrid, the ESAC Science Data Centre (ESDC) hosts astronomy, planetary and heliophysics archives for ESA Space Science Missions. Also at ESAC but in the GNSS arena, the GNSS Science Support Centre (GSSC) has consolidated a reference archive in order to promote the utilization of GNSS infrastructures as an innovation catapult for a diversity of science fields with special attention to Galileo & EGNOS systems. Motivated by the increasingly challenging requirements for effective exploitation of these archives, ESA Datalabs provides an open, collaborative platform to discover and analyse data from multiple ESA domains. The platform offers “Labs” and “Pipelines” Catalogues to enable seamless access to computing capabilities co-located with ESAC archives. On one hand, the Labs Catalogue allows users to choose among a list of interactive data analysis systems; these range from specific desktop applications like Topcat, a well-known astronomical tool to manipulate and visualize tables, to general-purpose, web-based ones such as JupyterLab, widely adopted for notebook development in multiple science fields. On the other hand, the Pipelines Catalogue allows users to launch complex, batch analysis workflows for long-standing data processing. 

Building on the flexibility provided by Containers and Kubernetes clusters, ESA Datalabs abstracts users from its software complexity, designed from the ground-up as a science-centric platform. ESA Datalabs maximises end-user productivity, eliminating the download, installation and configuration of complex software environments, which are now at just one-click distance from execution. Additionally, visual editors support developers of “Labs”and “Pipelines”, guiding them through their creation and update process to populate and maintain ESA Datalabs catalogues.

Currently available as an internal demonstrator for approximately one hundred ESA internal users at datalabs.esa.int, ESA Datalabs joins the growing number of science exploitation platforms, realising ESA Science vision of a one-stop-shop to implement the “bring the code to the data” paradigm. To this purpose, ESA Datalabs catalogues already feature concept Labs and Pipelines from ESA Space Missions such as Bepi Colombo, Planck, Euclid, Juice, Gaia and JWST."
X2-001,Julien Plante,Observatoire de Paris / PSL,A novel FRB detection pipeline for NenuFAR,"NenuFAR is a very large low-frequency radiotelescope, designed to observe the sky at frequencies ranging from 10 to 85 MHz. One of the main science case is the study of pulsars and Fast Radio Bursts (FRBs), and this program already has detected hundreds of these objects and events. However, the current detection pipeline is not able to perform a 24/7 survey of the sky. This is not an issue for observation of recurring events such as pulsars, but limits the number of FRB detections, and discovery opportunities.

Traditionally, FRBs have been detected offline, because of the heavy processing (Radio Frequency Interference (RFI) mitigation, dedispersion) needed, and of the fine tuning of the detection parameters and algorithms. With NenuFAR, this approach requires recording signals at data rates ranging from 0.7 to 1.5 Gb/s, depending on the precision mode. Storing this signal fast enough and continuously becomes limiting and alternative solutions have to be explored.

Here, we propose a novel real-time FRB detection system for NenuFAR, including a custom hardware platform and a software solution, designed to detect transient events on-the-fly and trigger signal storage on event detection. This pipeline aims at providing low-latency and low-jitter using GPU computing, enabling online processing and thus overcoming the storage bottleneck. To achieve high performances, we leverage the COSMIC real-time heterogeneous computing framework, developed at Observatoire de Paris as well as GPUDirect with DPDK. This experiment on NenuFAR has also been designed as a pathfinder for more efficient transient events detection on SKA, with scalability as one of the core specifications. 

In this paper, we present the design of the experiment, detail the underlying hardware and software technologies and discuss initial results from a benchmarking campaign."
