# Originally 197 with B and T (13 invited)
#  -> 197 * 4 + 13 * 8 = 892 pages, 800 is the max
# Total: 169 
# Final: 161 = 10 I + 31 O + 105 P    [790 pages]   82%
# Draft:   0 =  0 I +  0 O +   1 P
# Blank:   6 =  0 I +  1 O +   1 P
#
# tagnames in this file and script processor
# in final_count:  set editors = (PJT MWP ok EMW BAT PHOTO)
#
Adamek, Karel                     ; P8-1     finalp v2 copy            PJT ok2
Afrin Badhan, Mahmuda             ; P7-1     finalp v3 copy            MWP ok
Albert, Kinga                     ; P4-1     finalp v3 copy            PJT ok2
Alesina, Fabien                   ; P3-1     finalp v0 copy            PJT ok   PHOTO      
Alexov				  ; O2-1     finalp v5 copy            PJT ok
Allen, Alice			  ; O13-1    finalp v4                 PJT ok
Allen, Christopher                ; P4-2     finalp v4 copy            PJT ok
##NOPAPER Allen, Mark             ; P2-1     #
Ansdell				  ; O1-1     finalp V1                 BAT ok   Copyright PDF is empty 
Araya, Mauricio                   ; P1-1     finalp v2                 PJT ok2  utf-8
##NOPAPER Arviset, Christophe     ; P10-1    #
Asercion, Joseph                  ; P4-3     finalp v1                 BAT ok
##Atemkeng, Marcellin             ; P10-2    #
Baines, Deborah                   ; P5-1     finalp copy               PJT ok
Baumann, Matthieu                 ; P5-2     finalp copy               PJT ok
Becciani, Ugo                     ; P3-2     finalp v1 copy            PJT ok
Berriman, Bruce                   ; P5-3     finalp v3 copy            MWP ok
Blanco-Cuaresma, Sergi            ; P6-1     finalp v1                 PJT ok
Boch, Thomas                      ; P10-3    finalp v3                 PJT ok
Boisson, Catherine                ; P6-2     finalp v2                 PJT ok
##Bolton, Adam                    ; P2-2     #
Bonnarel			  ; O11-3    finalp v3  copy           PJT ok
Borne				  ; I4-1     finalp v3                 PJT ok
Bosch				  ; I12-1    finalp v3  copy           PJT ok
Boussejra			  ; O5-4     finalp v6  copy    \AFLAK PJT ok      PHOTO
Brasseur			  ; O10-1    finalp v2  copy           PJT ok 
Brown, Matthew                    ; P4-4     finalp v2  copy           PJT ok  
Buchschacher			  ; O10-3    finalp v0  copy           PJT ok
Burnier, Julien                   ; P6-3     finalp v2  copy           PJT ok     3/4 PHOTO     needs grammar check
Bushouse, Howard                  ; P12-1    finalp v0                 PJT ok
##Cano, Juan Luis                 ; P4-5     #
Cardiel, Nicolás                  ; P11-1    finalp v2 copy            PJT ok
Ceballos, M.Teresa                ; P12-2    finalp v5 copy            PJT ok
##Chen, Wei                       ; P9-1     #
Chilingarian, Igor                ; P13-1    finalp v4                 PJT ok
Chu, Selina                       ; P1-21    finalp v4 copy            PJT ok
Comrie				  ; O3-2     finalp v2 copy            PJT ok
Coulais, Alain                    ; P6-4     finalp V?       CHECK     PJT ok
##NOPAPER Crawford, Steven        ; P2-3     #
##Cupani, Guido                   ; P4-6     #
Dai, Cong			  ; O1-4     finalp v4 copy            PJT ok
##NOPAPER da Silva, Daniel        ; P7-2     #
Delgado, Arancha                  ; P5-4     finalp v2 copy            PJT ok
##Dempsey, James                  ; P10-4    #
Dencheva			  ; O12-3    finalp v2 copy            PJT ok    1/2 PHOTO
Deshpande, Shubhankar             ; P4-7     finalp v2                 MWP ok
Diaz				  ; O11-1    finalp v2                 MWP ok     
Donaldson			  ; O5-2     finalp v2                 MWP ok   1/2 PHOTO if we cut authors on long refs
Dower, Theresa                    ; P6-5     finalp v2                 MWP ok
Dowler, Patrick                   ; P10-5    finalp v2                 MWP ok
##NOPAPER Dreissigacker, Christoph; P1-2     #                copy   
Ebisawa, Ken                      ; P9-8     finalp v2 MWP ok
Eguchi, Satoshi                   ; P8-2     finalp v2 copy            MWP ok        
##NOPAPER Eisenhamer, Jonathan    ; P13-2    #        copy 
Emonts, Bjorn                     ; P5-5     finalp v2 copy            MWP ok
Fan, Dongwei                      ; P12-3    finalp v3 copy            MWP ok
Feinstein, Carlos                 ; P12-4    finalp v0 copy            EMW ok
Ferguson, Henry                   ; P5-6     finalp v1 copy            PJT ok
Fernique, Pierre                  ; P8-3     finalp v2                 PJT ok
Fitzpatrick			  ; O5-1     finalp v3                 PJT ok
##NOPAPER Gabriel, Carlos         ; P13-3    #      copy
##Gallegos, Julio                 ; P6-6     #
Geers, Vincent                    ; P13-4    finalp v3 copy            MWP ok
Giardino, Giovanna                ; P13-5    finalp    copy            MWP ok
Gilda				  ; O1-3     finalp v1                 MWP ok    
Gonzalez-Nuñez			  ; O10-6    finalp v3                 MWP ok
Good            		  ; F4       finalp v2 copy            MWP ok 
##NOPAPER Gordon, Craig           ; P5-7     #         copy 
Goz, David                        ; P12-5    finalp v2                 MWP ok
Gracia Abril, Gonzalo             ; P2-4     finalp V2                 MWP ok
##NOPAPER Grange, Yan             ; P5-8     #
##Graves			  ; O10-7    #                  noshow
Grishin, Kirill                   ; P3-3     finalp v4                 MWP ok
##NOPAPER Guedes Santos, Luiz  o  ; P1-20    #
Guerra Noguero, Rocio		  ; I6-1     finalp v3   copy          MWP ok
Gupta, Pramod                     ; P4-8     finalp v2   copy          MWP ok
Gwyn, Stephen                     ; P13-6    finalp v2   copy          MWP ok
##Hague, Peter                    ; P3-4     #
##Han, Jun                        ; P6-7     #
He, Helen                         ; P12-6    finalp v5                 PJT ok
##Holman			  ; I7-1     #   feb 12   cannot make it after all
##NOPAPER Irby, Bryan             ; P5-9     #
##NOPAPER Ireland, Jack           ; P7-3     #
Iwasaki, Hiroyoshi                ; P1-3     finalp v2   copy          EMW ok
Jenness, Tim                      ; P13-7    finalp      copy          MWP ok
Johnston, Kyle                    ; P1-4     finalp v1   copy          BAT ok
Joliet          		  ; F3       finalp v1                 PJT ok2
Joncour, Isabelle                 ; P1-5     finalp v?           CHECK MWP ok
Juric 				  ; O8-2     finalp v2                 BAT ok
Kaleida, Catherine                ; P4-9     finalp v3                 MWP ok                      1/3 PHOTO
Kaplan, Kyle                      ; P12-7    finalp v2 copy            MWP ok
Karim, Ramsey                     ; P12-8    finalp v1                 MWP ok
Kaufman, Zeke                     ; P4-10    finalp v2                 MWP ok
Kawasaki, Wataru                  ; P3-5     finalp v4  copy           MWP ok
Kelley, Michael                   ; P7-4     finalp v3                 MWP ok
Kent				  ; I3-2     finalp copy               PJT ok2    PHOTO
##NOPAPER Kepley		  ; O12-1    # 
Kitaeff, Vyacheslav               ; P4-11    finalp v2 copy            MWP ok                      full page PHOTO-PJT
Kong, Xiao                        ; P1-6     finalp v6 copy            PJT  ok   PHOTO
#Kosack, Karl                     ; P4-12                               email dec 7; dec 18 (on vac till Jan 3) ; jan 8
Kosugi, George                    ; P12-9    finalp v2 copy            MWP ok  
Kuulkers			  ; I9-1     finalp v0                 EMW ok
##Kyprianou, Mark                 ; P2-5     #
Labrie, Kathleen                  ; P11-2    finalp v2 copy ok         MWP ok           1/2 PHOTO
Lacy, Mark                        ; P2-6     finalp v2                 MWP ok                    1/2 PHOTO
Lammers, Jason                    ; P5-10    finalp v2                 PJT ok
Lam				  ; O12-4    finalp v0                 MWP ok
Landais				  ; O11-2    finalp v2 copy            EMW ok
Landoni, Marco                    ; P6-8     finalp v2                 EMW ok
Laurino, Omar                     ; P10-6    finalp v2                 EMW ok
##Lemson, Gerard                  ; P10-7    #
##Li, Changhua                    ; P1-7     #
