B10     ED   Final2 ok ; Teuben; Teuben, Peter; https://www.adass2019.nl/wp-content/uploads/adass-proc/B10-5dc0132fb11c77-77664837.tar.gz; 
B2      ED   Final2 ok ; Mink; Mink, Jessica; https://www.adass2019.nl/wp-content/uploads/adass-proc/B2-5d927f9d0b0c36-58322760.tar; 
B3      ED   Final2 ok ; Noordam; Noordam, Jan; https://www.adass2019.nl/wp-content/uploads/adass-proc/B3-5dbafd8e66cc15-09280628.tar.gz; 
B5      ED   Final2 ok ; Grange; Grange, Yan; https://www.adass2019.nl/wp-content/uploads/adass-proc/O3-6-5dbb01f46d7370-20221926.tar.gz; 
B6      ED   Final2 ok ; Vogelaar; Vogelaar, Martin; https://www.adass2019.nl/wp-content/uploads/adass-proc/B6-5dbc973bd42da1-88199420.tar.gz; 
B8      ED   Final2 ok ; Taffoni; Taffoni, Giuliano; https://www.adass2019.nl/wp-content/uploads/adass-proc/B8-5dbb3f97783cd9-11419723.zip; 
B9      ED   Final2 ok ; Allen; Allen, Alice; https://www.adass2019.nl/wp-content/uploads/adass-proc/B9-5dbca4ed753176-35202109.tar.gz; 
D5      ED   Final2 ok ; Allen; Allen, Mark; https://www.adass2019.nl/wp-content/uploads/adass-proc/P11-13-5d926954d56ed4-69118408.zip;
D6      ED   Final2 ok ; Jansen; Jansen; https://www.adass2019.nl/wp-content/uploads/adass-proc/D6-5dcf0c4d46b480-65358672.tar.gz;
F1      ED   Final2 ok ; Evans; Evans, Janet; https://www.adass2019.nl/wp-content/uploads/adass-proc/F1-5dbb83c48f9661-25679180.tar.gz; 
F2      ED   Final2 ok ; Cherinka; Cherinka, Brian ; https://www.adass2019.nl/wp-content/uploads/adass-proc/F2-5dbcb1fb584c33-32304728.tar.gz; 
F3      ED   Final2 ok ; Spreeuw; Spreeuw, Johannes; https://www.adass2019.nl/wp-content/uploads/adass-proc/F3-5dbc5362dcdc16-08915985.zip; 
F4      ED   Draft  ; Verdoes Kleijn; Verdoes Kleijn, Gijs; https://www.adass2019.nl/wp-content/uploads/adass-proc/F4-5d91f419191381-10598210.tar; 
I10-1   RP   Final2 ok ; Offringa; Offringa, Andr{\'e}; https://www.adass2019.nl/wp-content/uploads/adass-proc/I10-1-5d933828307e80-11879092.tar.gz; 
I1-1    JDM  Final2 ok ; Mazzarella; Mazzarella, Joseph; https://www.adass2019.nl/wp-content/uploads/adass-proc/I1-1-5d9a0d7e494581-87611290.zip; 
I2-1    JDM  Final2 ok ; Chary; Chary, Ranga-Ram; https://www.adass2019.nl/wp-content/uploads/adass-proc/I2-1_v1.tar.gz; 
I6-1    HV   Final2 ok  ; Banek; Banek, Christine; https://www.adass2019.nl/wp-content/uploads/adass-proc/I6-1-5db9ffdd0edd98-25068651.zip; 
I7-1    HV   Final2 ok ; Colom{\'e}; Colom{\'e}, Josep; https://www.adass2019.nl/wp-content/uploads/adass-proc/I7-1-5d97eead053646-45096549.zip; 
I8-1    HV   Final2 Wait author feedback paperauthor, figure resolution; Gonzalez-Nunez; Gonzalez-Nunez, Juan; https://www.adass2019.nl/wp-content/uploads/adass-proc/I8-1-5dbafc64f01e39-95043133.tar; 
I9-1    JDP  Final2 ok ; Alei; Alei, Eleonora; https://www.adass2019.nl/wp-content/uploads/adass-proc/I9-1-5db6b18ae8a3b2-30205709.zip; 
O10-2   RP   Final2 ok ; Lacy; Lacy, Mark; https://www.adass2019.nl/wp-content/uploads/adass-proc/O10-2-5dc0282e008e76-55557952.tar.gz; 
O11-1   JDP  Final2 ok ; Pineau; Pineau, Francois-Xavier; https://www.adass2019.nl/wp-content/uploads/adass-proc/O11-1-5dbb6a3e625492-23864070.tar.gz; 
O1-2    JDM  Final2 ok; Araya; Araya, Mauricio; https://www.adass2019.nl/wp-content/uploads/adass-proc/O1-2-5db84f67f09810-19893652.tar.gz; 
O1-3    JDM  Final2 ok; Nieto; Nieto, Sara; https://www.adass2019.nl/wp-content/uploads/adass-proc/O1-3-5d912ee997b4c8-52334220.zip; 
O2-3    JDM  Final2 ok; Fernique; Fernique, Pierre; https://www.adass2019.nl/wp-content/uploads/adass-proc/O2-3-5d9204101c5076-72469959.tar; 
O3-2    HV   Final2 ok ; Verdoes Kleijn; Verdoes Kleijn, Gijs; https://www.adass2019.nl/wp-content/uploads/adass-proc/O3-2-5d8de687b363f9-05760420.tar.gz; 
O3-3    HV   NoComm ; Roorda; Roorda, Jouke; https://www.adass2019.nl/wp-content/uploads/adass-proc/O3-3-5d920e5726df65-88666772.tar.gz; 
