# To editors: uncomment a paper when it is ready to be included in building the linear book
# 312 pages now
# First Author ; PID                         Reviewer	  State
#-------------------------------             --------     --------
James Tocknell ; B07                         AH           final
Matthieu Baumann ; C10                       AH           final
Yashil Sukurdeep ; C27                       AH           final
F.-X. Pineau ; I05                           AH           final
Anna Anku ; I12                              AH           final
Vladimir Dergachev ; P06                     AH           final
Venkatessh Ramakrishnan ; P12                AH           final
Paolo Estrada ; P14                          AH           final
Antonio Addis ; P20                          AH           final
Anne Buckner ; P21                           AH           final
Tammo Jan Dijkema ; P23                      AH           final
Alice Allen ; P31                            AH           final
Felix Grezes ; P45                           AH           final
Florian Leitgeb ; P47                        AH           final
Alberto Accomazzi ; P53                      AH           final
Kristof Rozgonyi ; P56                       AH           final
Yuzuki Koga ; P65                            AH           final
Kgomotso Monnakgotla ; P68                   AH           final
Paul Barrett ; T03                           AH           final
Alice Allen ; B01                            final DB
Anaïs Oberto ; C07                           final DB
Stefano Zampieri ; C14                       final DB
Marco Fumana ; C19                           final DB
Jayce Dowell ; C21                           final DB
Brent Miszalski ; C23                        final DB
David Law ; C26                              final DB
Susanna Bisogni ; F03                        final DB
Monica Fernandez Barreiro ; I07              final DB
Joao Bento ; P08                             final DB
Fausto Navarro ; P11                         final DB
Felix Stoehr ; P13                           final DB
Francisco Ballester Arenas; P26              final DB
James Tocknell ; P27                         final DB
Miguel Flores ; P33                          final DB
Paolo Franzetti ; P38                        final DB
Mike Birchall ; P40                          final DB
Tamara Civera ; P50                          final DB
Graham Bell ; P74                            final DB
Min Long ; P77                               final DB	
Manuela Rauch ; C11                          final PT
Gijs Verdoes Kleijn ; C18                    final PT
Maria Arevalo Sanchez ; F05                  final PT
Nick Cox ; P09                               final PT
Brian R. Kent ; P17                          final PT
Peter J. Teuben ; P19                        final PT ed
Marco Molinaro ; P22                         final PT 
Travis Stenborg ; P32                        final PT
Thomas Vuillaume ; P34                       final PT    LONGLOG
Kalyani Pedamkar ; P35                       final PT
Alexander Sivitilli ; P36                    final PT
Mathieu Servillat ; P49                      final PT
Michelle Gower ; P52                         final PT
Kieran Leschinski ; P55                      final PT
Manuel Parra-Royón ; P62                     final PT
Giuliano Taffoni ; P73                       final PT
François Bonnarel ; P75                      final PT
Manon Marchand ; P81                         final PT    LONGLOG
Alice Allen ; T01                            final PT
Peter K. G. Williams ; C02                   final SGa
D. Thatte ; C05                              final SGa
Thomas Boch ; C12                            final SGa
Petr Skoda ; C22                             final SGa
Bjorn Emonts ; C28                           final SGa
Sara Bertocco ; I01                          final SGa
Brian Major ; I06                            final SGa
Bruce Berriman ; P04                         final SGa
Eva Sciacca ; P10                            final SGa
Jutta Schnabel ; P16                         final SGa
Lior Shamir ; P41                            final SGa
Andrea Bulgarelli ; P42                      final SGa
Nicolò Parmiggiani ; P46                     final SGa
Satoshi Takashima ; P60                      final SGa
Carlos Feinstein ; P67                       final SGa
Makoto Shizugami ; P69                       final SGa
Ashkbiz Danehkar ; P76                       final SGa
Enrique Garcia ; P79                         final SGa
Ashkbiz Danehkar ; P82                       final SGa
Fabio Pasian ; B02                           final SGa
Marcos Lopez-Caniego ; C03                   final SGw	SGa - major fixing but now clean
Anastasia Laity ; C09                        final SGw  SGa - fixed bibstyle, minor corrections; check is clean; copyright form good
